Rio,Anio,Maximo_Anual
San Rodrigo,2003,5.45
San Rodrigo,2004,33.14533333333333
San Rodrigo,2005,28.106333333333335
San Rodrigo,2006,0.8853333333333334
San Rodrigo,2007,7.1209999999999996
San Rodrigo,2008,30.623
San Rodrigo,2009,3.4323333333333337
San Rodrigo,2010,268.2463333333333
San Rodrigo,2011,2.927
San Rodrigo,2012,1.293
San Rodrigo,2013,11.038666666666666
San Rodrigo,2014,5.575333333333333
San Rodrigo,2015,7.053999999999999
San Rodrigo,2016,6.3503333333333325
San Rodrigo,2017,36.535666666666664
San Rodrigo,2018,37.35633333333333
San Rodrigo,2019,5.716666666666666
San Rodrigo,2020,0.0
San Rodrigo,2021,0.12556799999999999
San Rodrigo,2022,2.6657279999999997
San Rodrigo,2023,0.7358400000000002
San Rodrigo,2024,4.5457920000000005
San Rodrigo,2025,1.4472
Escondido,1950,1.3416666666666668
Escondido,1951,3.3553333333333333
Escondido,1952,0.836
Escondido,1953,8.878333333333334
Escondido,1954,6.636
Escondido,1955,2.4953333333333334
Escondido,1956,0.2773333333333333
Escondido,1957,10.472666666666667
Escondido,1958,10.581
Escondido,1959,4.269333333333333
Escondido,1960,4.47
Escondido,1961,5.232333333333333
Escondido,1962,0.6646666666666666
Escondido,1963,4.6000000000000005
Escondido,1964,20.221666666666668
Escondido,1965,1.37
Escondido,1966,3.187
Escondido,1967,0.23366666666666666
Escondido,1968,0.6866666666666666
Escondido,1969,7.241333333333333
Escondido,1970,0.9463333333333334
Escondido,1971,11.647
Escondido,1972,6.1419999999999995
Escondido,1973,5.174666666666666
Escondido,1974,1.8806666666666667
Escondido,1975,3.486666666666667
Escondido,1976,12.378333333333332
Escondido,1977,7.783333333333334
Escondido,1978,10.565
Escondido,1979,5.650333333333333
Escondido,1980,4.2250000000000005
Escondido,1981,8.772666666666668
Escondido,1982,2.303
Escondido,1983,1.2289999999999999
Escondido,1984,2.3343333333333334
Escondido,1985,1.534
Escondido,1986,12.356
Escondido,1987,10.898000000000001
Escondido,1988,4.57
Escondido,1989,2.8556666666666666
Escondido,1990,3.4606666666666666
Escondido,1991,2.9803333333333337
Escondido,1992,9.542
Escondido,1993,2.1856666666666666
Escondido,1994,1.2449999999999999
Escondido,1995,0.8253333333333334
Escondido,1996,0.4593333333333333
Escondido,1997,0.4463333333333333
Escondido,1998,0.28733333333333333
Escondido,1999,6.976666666666667
Escondido,2000,1.059
Escondido,2001,0.8776666666666667
Escondido,2002,3.858333333333333
Escondido,2003,1.6056666666666668
Escondido,2004,58.415333333333336
Escondido,2005,3.2883333333333336
Escondido,2006,1.2826666666666666
Escondido,2007,4.314666666666667
Escondido,2008,10.394
Escondido,2009,4.620666666666667
Escondido,2010,44.595666666666666
Escondido,2011,5.990333333333333
Escondido,2012,1.3753333333333335
Escondido,2013,15.418666666666667
Escondido,2014,2.1126666666666667
Escondido,2015,2.2479999999999998
Escondido,2016,2.2786666666666666
Escondido,2017,3.478666666666667
Escondido,2018,5.396333333333334
Escondido,2019,3.6430000000000002
Escondido,2020,0.5733333333333334
Escondido,2021,0.65808
Escondido,2022,1.099872
Escondido,2023,0.28137599999999996
Escondido,2024,0.127008
Escondido,2025,0.799488
Salado,1950,16.101
Salado,1951,40.07333333333334
Salado,1952,5.985666666666667
Salado,1953,137.35
Salado,1954,18.595
Salado,1955,59.53133333333333
Salado,1956,14.911999999999999
Salado,1957,7.768
Salado,1958,214.95166666666668
Salado,1959,27.498333333333335
Salado,1960,7.531
Salado,1961,16.074
Salado,1962,18.089333333333332
Salado,1963,26.735
Salado,1964,19.43133333333333
Salado,1965,24.934
Salado,1966,41.494
Salado,1967,202.0666666666667
Salado,1968,14.511333333333333
Salado,1969,6.578333333333333
Salado,1970,9.212666666666667
Salado,1971,332.061
Salado,1972,20.888666666666666
Salado,1973,39.182
Salado,1974,12.975999999999999
Salado,1975,35.535000000000004
Salado,1976,86.35666666666667
Salado,1977,24.592333333333332
Salado,1978,67.62933333333334
Salado,1979,45.439
Salado,1980,51.599333333333334
Salado,1981,149.16666666666666
Salado,1982,21.080000000000002
Salado,1983,4.305666666666666
Salado,1984,21.23966666666667
Salado,1985,11.083666666666666
Salado,1986,37.138333333333335
Salado,1987,5.164000000000001
Salado,1988,159.25633333333334
Salado,1989,4.511
Salado,1990,12.067333333333332
Salado,1991,4.787333333333334
Salado,1992,5.447333333333333
Salado,1993,7.6113333333333335
Salado,1994,3.222
Salado,1995,30.74
Salado,1996,6.418666666666667
Salado,1997,6.059666666666666
Salado,1998,19.307
Salado,1999,13.354666666666667
Salado,2000,6.057666666666666
Salado,2001,18.788999999999998
Salado,2002,17.53
Salado,2003,77.309
Salado,2004,8.532666666666666
Salado,2005,36.81433333333333
Salado,2006,28.879
Salado,2007,22.59266666666667
Salado,2008,133.845
Salado,2009,40.35466666666667
Salado,2010,877.986
Salado,2011,37.699333333333335
Salado,2012,3.590666666666667
Salado,2013,39.06966666666667
Salado,2014,33.04933333333333
Salado,2015,32.99966666666666
Salado,2016,9.145
Salado,2017,106.33833333333332
Salado,2018,7.172999999999999
Salado,2019,3.4103333333333334
Salado,2020,12.577
Salado,2021,1.268928
Salado,2022,10.873727999999998
Salado,2023,2.622528
Salado,2024,8.202240000000002
Salado,2025,10.08288
